0.075, 0.12, 1056, 298, 917, 2896, 1353, 1543, 83, 0
0.075, 0.12, 76, 6, 66, 150, 81, 69, 0, 0
0.075, 0.12, 142, 23, 124, 300, 163, 137, 0, 0
0.075, 0.12, 210, 40, 179, 450, 249, 201, 0, 0
0.075, 0.12, 269, 55, 227, 600, 323, 277, 0, 0
0.075, 0.12, 330, 73, 278, 750, 402, 348, 0, 0
0.075, 0.12, 370, 96, 322, 900, 465, 435, 16, 0
0.075, 0.12, 416, 110, 361, 1050, 525, 525, 37, 0
0.075, 0.12, 455, 129, 391, 1200, 582, 618, 53, 0
0.075, 0.12, 498, 144, 429, 1350, 640, 710, 72, 0
0.075, 0.12, 540, 156, 470, 1500, 694, 806, 85, 0
0.075, 0.12, 579, 169, 512, 1650, 747, 903, 105, 0
0.075, 0.12, 620, 181, 557, 1800, 800, 1000, 133, 0
0.075, 0.12, 668, 190, 600, 1950, 857, 1093, 149, 0
0.075, 0.12, 713, 202, 645, 2100, 914, 1186, 165, 0
0.075, 0.12, 757, 215, 681, 2250, 971, 1279, 173, 0
0.075, 0.12, 789, 230, 712, 2400, 1018, 1382, 187, 0
0.075, 0.12, 831, 250, 756, 2550, 1080, 1470, 204, 0
0.075, 0.12, 883, 265, 804, 2700, 1146, 1554, 215, 0
0.075, 0.12, 933, 270, 859, 2850, 1202, 1648, 237, 0
0.075, 0.12, 972, 281, 891, 3000, 1252, 1748, 254, 0
0.075, 0.12, 1008, 293, 921, 3141, 1300, 1841, 268, 0
0.075, 0.12, 72, 9, 64, 150, 79, 71, 0, 0
0.075, 0.12, 144, 21, 124, 300, 164, 136, 0, 0
0.075, 0.12, 216, 41, 184, 450, 256, 194, 0, 0
0.075, 0.12, 273, 58, 235, 600, 330, 270, 0, 0
0.075, 0.12, 335, 70, 283, 750, 404, 346, 0, 0
0.075, 0.12, 385, 89, 326, 900, 473, 427, 8, 0
0.075, 0.12, 432, 108, 366, 1050, 538, 512, 19, 0
0.075, 0.12, 480, 122, 412, 1200, 600, 600, 33, 0
0.075, 0.12, 531, 138, 456, 1350, 667, 683, 43, 0
0.075, 0.12, 580, 156, 500, 1500, 735, 765, 51, 0
0.075, 0.12, 630, 167, 545, 1650, 796, 854, 63, 0
0.075, 0.12, 682, 180, 587, 1800, 859, 941, 77, 0
0.075, 0.12, 727, 193, 630, 1950, 918, 1032, 93, 0
0.075, 0.12, 777, 200, 674, 2100, 976, 1124, 107, 0
0.075, 0.12, 822, 211, 718, 2250, 1032, 1218, 127, 0
0.075, 0.12, 853, 234, 745, 2400, 1086, 1314, 142, 0
0.075, 0.12, 890, 251, 786, 2550, 1140, 1410, 159, 0
0.075, 0.12, 939, 259, 829, 2700, 1197, 1503, 176, 0
0.075, 0.12, 991, 268, 881, 2850, 1257, 1593, 205, 0
0.075, 0.12, 1032, 280, 920, 3000, 1311, 1689, 228, 0
0.075, 0.12, 1075, 292, 956, 3150, 1366, 1784, 250, 0
0.075, 0.12, 1124, 308, 1003, 3300, 1431, 1869, 266, 0
0.075, 0.12, 1140, 315, 1017, 3368, 1454, 1914, 270, 0
0.075, 0.12, 81, 16, 71, 150, 95, 55, 0, 0
0.075, 0.12, 145, 38, 130, 300, 182, 118, 0, 0
0.075, 0.12, 203, 52, 179, 450, 254, 196, 0, 0
0.075, 0.12, 275, 67, 242, 600, 341, 259, 2, 0
0.075, 0.12, 327, 84, 288, 750, 409, 341, 11, 0
0.075, 0.12, 377, 101, 335, 900, 476, 424, 25, 0
